"region","sector","Year","co2.emiss","scenario"
"AR","comm cooling","1990",0.000153362,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","comm cooling","1990",2.698e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"CA","comm cooling","1990",0.0175129,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","comm cooling","1990",4.26002e-06,"NEWdac_netzero_usa_global_ssp2_highEV"
"CT","comm cooling","1990",0.00317228,"NEWdac_netzero_usa_global_ssp2_highEV"
"DC","comm cooling","1990",0.00119848,"NEWdac_netzero_usa_global_ssp2_highEV"
"DE","comm cooling","1990",0.000222941,"NEWdac_netzero_usa_global_ssp2_highEV"
"FL","comm cooling","1990",0.0184628,"NEWdac_netzero_usa_global_ssp2_highEV"
"GA","comm cooling","1990",0.00771201,"NEWdac_netzero_usa_global_ssp2_highEV"
"HI","comm cooling","1990",9.37199e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"IA","comm cooling","1990",0.000140581,"NEWdac_netzero_usa_global_ssp2_highEV"
"ID","comm cooling","1990",1.42001e-06,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","comm cooling","1990",0.00740814,"NEWdac_netzero_usa_global_ssp2_highEV"
"IN","comm cooling","1990",0.00258155,"NEWdac_netzero_usa_global_ssp2_highEV"
"KS","comm cooling","1990",0.00038908,"NEWdac_netzero_usa_global_ssp2_highEV"
"KY","comm cooling","1990",1.278e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"LA","comm cooling","1990",0.0003408,"NEWdac_netzero_usa_global_ssp2_highEV"
"MA","comm cooling","1990",0.00473002,"NEWdac_netzero_usa_global_ssp2_highEV"
"MD","comm cooling","1990",0.00158046,"NEWdac_netzero_usa_global_ssp2_highEV"
"ME","comm cooling","1990",6.10615e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"MI","comm cooling","1990",0.00341084,"NEWdac_netzero_usa_global_ssp2_highEV"
"MN","comm cooling","1990",0.000133479,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","comm cooling","1990",0.000379141,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","comm cooling","1990",1.988e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"MT","comm cooling","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"NC","comm cooling","1990",0.00326032,"NEWdac_netzero_usa_global_ssp2_highEV"
"ND","comm cooling","1990",1.42003e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"NE","comm cooling","1990",0.000139161,"NEWdac_netzero_usa_global_ssp2_highEV"
"NH","comm cooling","1990",0.000299626,"NEWdac_netzero_usa_global_ssp2_highEV"
"NJ","comm cooling","1990",0.0208981,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","comm cooling","1990",4.26001e-06,"NEWdac_netzero_usa_global_ssp2_highEV"
"NV","comm cooling","1990",7.10001e-06,"NEWdac_netzero_usa_global_ssp2_highEV"
"NY","comm cooling","1990",0.024681,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","comm cooling","1990",0.00405409,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","comm cooling","1990",0.000225781,"NEWdac_netzero_usa_global_ssp2_highEV"
"OR","comm cooling","1990",0.000318079,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","comm cooling","1990",0.0154084,"NEWdac_netzero_usa_global_ssp2_highEV"
"RI","comm cooling","1990",0.000881819,"NEWdac_netzero_usa_global_ssp2_highEV"
"SC","comm cooling","1990",0.0023714,"NEWdac_netzero_usa_global_ssp2_highEV"
"SD","comm cooling","1990",1.98801e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"TN","comm cooling","1990",2.556e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","comm cooling","1990",0.00214278,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","comm cooling","1990",1.42e-06,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","comm cooling","1990",0.0032234,"NEWdac_netzero_usa_global_ssp2_highEV"
"VT","comm cooling","1990",6.67423e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"WA","comm cooling","1990",0.000593561,"NEWdac_netzero_usa_global_ssp2_highEV"
"WI","comm cooling","1990",0.0011431,"NEWdac_netzero_usa_global_ssp2_highEV"
"WV","comm cooling","1990",0.000820754,"NEWdac_netzero_usa_global_ssp2_highEV"
"WY","comm cooling","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV"
"AK","comm heating","1990",0.774993994649784,"NEWdac_netzero_usa_global_ssp2_highEV"
