water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KS,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,5.23E-08,1.65E-06,9.55E-05,0.002828272,0.040691966,0.079154994,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KS,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,6.71E-10,2.24E-08,1.23E-06,4.46E-05,8.90E-04,0.002340367,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KS,industry,industry,industry,0.0738701,0.0578583,0.0556617,0.0526637,0.053299,0.0533224,0.0548404,0.0559461,0.0575489,0.0589674,0.0614367,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KS,municipal water,municipal water,municipal water,0.54964,0.576828,0.560982,0.50101,0.504732,0.51405,0.530166,0.544992,0.560023,0.573734,0.586667,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KY,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.87E-07,5.57E-06,2.96E-04,0.009135841,0.137320346,0.276646339,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KY,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.20E-09,3.22E-08,1.26E-06,4.88E-05,0.001024323,0.002860948,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KY,industry,industry,industry,0.433039,0.257254,0.314601,0.310733,0.318647,0.319471,0.329086,0.334002,0.343537,0.35202,0.365314,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",KY,municipal water,municipal water,municipal water,0.666613,0.818567,0.836306,0.79428,0.800295,0.818137,0.846091,0.866136,0.88876,0.90817,0.927485,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",LA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.89E-08,1.61E-06,9.19E-05,0.002771871,0.04416045,0.096203705,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",LA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.89E-10,1.04E-08,5.46E-07,1.78E-05,3.46E-04,7.35E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",LA,industry,industry,industry,3.25986,4.29392,2.84322,2.96041,2.91469,2.91465,3.01651,3.14031,3.25844,3.31867,3.43302,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",LA,municipal water,municipal water,municipal water,0.923895,1.05415,1.09612,1.03374,1.01454,1.02246,1.0523,1.08559,1.11596,1.14384,1.17122,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",MA,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,0,0,1.75E-09,5.67E-08,1.03E-06,1.58E-06,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",MA,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,0,0,2.27E-09,4.85E-08,9.88E-08,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",MA,industry,industry,industry,0.120041,0.155131,0.0225741,0.0385031,0.0399937,0.0413837,0.0435626,0.0455881,0.0477834,0.0495431,0.0518209,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",MA,municipal water,municipal water,municipal water,1.03743,1.15147,0.989255,0.943015,0.977004,1.02111,1.07056,1.11371,1.16189,1.20724,1.25091,0,0,0,km^3
